Gene Name,HNOX_1,HNOX_2,HNOX_3,WT_1,WT_2,WT_3
Pden_0444,0,0,0,15861000,15839000,15009000
ppk,0,0,0,2335300,2519400,2585500
Pden_4022,0,0,0,4163000,4203200,3781000
Pden_4104,0,0,0,4776700,5177700,4477700
Pden_0682,0,0,0,2232800,1855500,2098100
Pden_3554,0,0,0,5599600,5780600,6014800
Pden_0720,12513000,13548000,12501000,8554200,9988500,9636400
Pden_1933,18118000,18652000,19540000,22994000,23047000,25150000
Pden_1662,29921000,36186000,29864000,71621000,88955000,80356000
hpa,8317400,7119500,8042200,9807600,11169000,10861000
Pden_0036,30378000,33002000,27686000,40054000,43037000,40926000
Pden_3450,0,0,0,3125200,3032600,4079700
thiG,8199000,7202500,6922400,9475000,9655900,10516000
ddl,6024000,6167800,5658200,4098300,4603400,3716000
Pden_0845,0,0,0,276700,322150,403430
Pden_0011,9922400,13498000,10570000,0,0,0
Pden_4801,7210700,7828800,7685400,10398000,9838100,10950000
Pden_3552,34478000,34669000,37104000,41545000,44719000,41113000
Pden_4178,9397500,7128900,8343700,5449700,3826000,3603200
Pden_4177,8347700,6562600,8353300,4798700,3735700,3606200
argB,9327900,9942000,8705500,12707000,11329000,11139000
Pden_4401,8163600,11438000,11964000,20552000,16529000,19554000
clpB,33784000,32176000,32285000,27417000,29466000,29022000
Pden_4404,9828800,11901000,13050000,17349000,19682000,23317000
Pden_4053,13708000,15321000,14587000,16017000,17372000,18012000
Pden_1377,19340000,19599000,19028000,14339000,14051000,15683000
Pden_3555,6925700,7887000,7947700,8769700,10185000,9209500
bhcC,10197000,7017600,6599900,0,0,0
Pden_2090,2175000,0,0,3479400,3402900,4322700
thiC,8016300,12315000,11651000,15507000,17421000,17063000
Pden_1248,41197000,42167000,40340000,50390000,60326000,60048000
bapA,64131000,68572000,54271000,44943000,49546000,47536000
rplI,251700000,297560000,288860000,310230000,347700000,349910000
Pden_3553,17692000,17742000,19953000,21278000,21605000,22161000
pnp,92196000,99452000,97160000,103920000,105960000,111380000
Pden_0793,101020000,99767000,100610000,112390000,127820000,127060000
Pden_3557,38013000,36349000,35501000,40592000,43105000,41683000
Pden_0093,324400000,419370000,412980000,482230000,578570000,488360000
Pden_2425,11700000,11851000,12820000,16558000,13789000,15562000
atpD,413760000,436660000,442530000,466690000,447760000,475050000
Pden_4309,0,0,921460,1156700,1374000,1659300
Pden_2882,9525100,12115000,11641000,12959000,13290000,15437000
Pden_1798,14301000,14371000,13927000,11777000,11202000,12251000
Pden_4344,8267700,8670900,9363700,4838200,4065100,5406300
pxpA,50532000,39666000,41689000,29485000,35508000,32709000
grpE,57919000,60789000,60685000,56209000,56350000,56834000
hisH,7021800,7715500,8306400,8711300,8851900,9219600
Pden_4439,28867000,23921000,24774000,30614000,32586000,30094000
Pden_2580,16754000,20554000,20024000,22057000,30658000,27747000
fhs1,14102000,14721000,13984000,14772000,15814000,15991000
Pden_1325,9942800,10230000,10641000,11093000,10608000,11502000
Pden_1563,45774000,48321000,45674000,49507000,52063000,56854000
Pden_0518,180400000,162130000,171040000,153260000,153980000,148010000
Pden_3084,41697000,38383000,37203000,43956000,50160000,50543000
Pden_2046,6410100,7420300,7212800,8452400,8222100,8058300
Pden_4366,9725000,10693000,9901900,10653000,10980000,11784000
Pden_2160,38291000,35673000,29273000,20231000,20401000,20401000
Pden_4393,15588000,13523000,15692000,12998000,12854000,12257000
purS,28750000,38242000,35668000,48981000,47902000,45887000
rpsO,145380000,235870000,210990000,245560000,289730000,267650000
pyrH,24207000,25830000,25349000,26332000,29282000,29580000
pckA,33370000,33437000,35582000,39582000,37416000,36842000
Pden_1258,28550000,47103000,51386000,76115000,79055000,74362000
Pden_3839,6189700,7313100,6216600,8269700,7640900,7115600
rpmC,0,0,128590000,151470000,198690000,170310000
Pden_2001,10970000,9635900,10211000,0,0,0
Pden_2862,36365000,38357000,43124000,55024000,48991000,53210000
rpiA,22145000,25136000,23554000,26898000,26742000,28182000
Pden_0531,80243000,68956000,79628000,62340000,65569000,66815000
rplQ,268310000,272310000,311470000,337130000,312480000,373930000
Pden_4065,12192000,8869400,8906800,11306000,14976000,16873000
Pden_0510,3188600,2507000,2533800,0,0,0
Pden_1901,0,9610100,0,13751000,10672000,9114100
Pden_4027,9144200,6874000,7302300,5609000,5286400,5863600
prfA,11633000,9696000,9596200,8704300,8347800,7733700
rpsF,159100000,164320000,143030000,172030000,223420000,204010000
Pden_3082,4948200,4804500,3808800,6013300,5770500,5501900
Pden_4479,86804000,75786000,70336000,65438000,63683000,62459000
Pden_4760,41009000,47569000,47158000,49954000,51424000,54181000
nosZ,42697000,37105000,35978000,26549000,25062000,25237000
Pden_2663,5720600,7378100,7751100,9894700,8215800,8982500
Pden_2472,8421100,10742000,9861700,11825000,15475000,14866000
rplD,189330000,174940000,170320000,210770000,182540000,208890000
rplN,174390000,198760000,210250000,198090000,244790000,240670000
Pden_3633,55129000,58219000,65677000,58316000,48363000,47425000
Pden_1982,4427900,5002000,5287600,5921100,6520600,6660500
rplT,193240000,203230000,182950000,216280000,219800000,231940000
lpxA,0,3023800,0,3554600,3164100,3296300
Pden_0814,76453000,65637000,66254000,64649000,55127000,59723000
potA,14114000,14255000,11859000,15540000,14759000,16029000
metG,23043000,25702000,24265000,22448000,22499000,22322000
rlmN,7440800,6101600,6328700,5403200,5119800,5927800
Pden_1280,3240900,2945400,2911500,2798900,2686500,2794400
Pden_4144,18386000,18607000,17637000,18695000,20667000,20627000
Pden_4047,9754000,22087000,25460000,30720000,35694000,31455000
Pden_1868,4819700,4024500,4065300,4006800,3831600,3355400
Pden_2515,7668100,6242700,6166700,5478900,5024500,4211100
Pden_0037,0,0,2192600,2775500,2047500,2900300
Pden_4414,91611000,118160000,107230000,87054000,85137000,90924000
murE,8621500,9867600,8568900,9587000,9687200,10663000
Pden_4257,2962500,3328700,2877200,2465100,2301200,2661200
Pden_0786,13954000,16211000,17278000,17937000,18939000,17232000
hslU,17376000,18202000,18196000,17235000,16335000,17070000
gpsA,2043400,1958100,1980800,1858500,1376700,1387600
leuA,10688000,10229000,10022000,9019500,8640800,9335300
rpsG,104140000,135450000,145860000,147700000,196270000,151940000
Pden_2665,8929600,6638800,6291600,0,0,0
glmS,21192000,24221000,28265000,29498000,26815000,30661000
Pden_4461,39618000,32664000,37934000,29434000,36199000,28725000
Pden_2407,5383200,5788400,4911500,4476400,4207800,4770800
Pden_3646,36465000,29012000,35538000,29649000,29054000,25076000
Pden_2258,29053000,32256000,38352000,38510000,45573000,39741000
zwf,11962000,10890000,11099000,12500000,12945000,11483000
carB,24426000,26053000,25117000,25333000,26801000,27556000
Pden_2151,16301000,13708000,12360000,14756000,20091000,21943000
Pden_4142,0,0,6395500,6258000,8014000,7148000
leuD,16910000,14915000,14538000,14475000,13603000,11977000
Pden_4745,10850000,12784000,11006000,12457000,13491000,13147000
ispG,7363100,7659400,8523000,8376800,8181800,8979100
Pden_0893,63018000,62033000,60310000,47562000,41531000,41054000
mltG,4970100,5998200,5747600,5777100,6659900,6378600
Pden_1770,35786000,44230000,39492000,43638000,48393000,46831000
Pden_1832,34097000,36210000,33736000,31052000,32366000,31617000
Pden_1551,56612000,49667000,50835000,53920000,68833000,71184000
Pden_2673,8114800,8295100,7400500,6206300,6959800,6456000
purD,15546000,15197000,15513000,16469000,15443000,16731000
Pden_1847,60377000,61833000,64964000,53412000,52556000,52748000
Pden_0041,8227700,11719000,10599000,11229000,16538000,16009000
Pden_1989,3281600,3765300,3265400,4486500,3817400,4147300
Pden_1740,25885000,24018000,20137000,16139000,19153000,19977000
Pden_2956,12681000,9616100,10344000,9298700,8892800,9477300
Pden_4377,23660000,21114000,20470000,25796000,24930000,23600000
Pden_3794,4243300,3234300,3941000,3822500,2492500,1736900
Pden_2776,14291000,15279000,15078000,16716000,16129000,17377000
Pden_2386,4935700,4538200,4257200,4323800,3826500,4183200
Pden_2469,0,1907000,0,2461200,1508500,2172900
Pden_3873,4402500,4727800,5142200,3360700,3747100,3894200
Pden_3689,10482000,11935000,11263000,11776000,12458000,12132000
Pden_0243,1004683,946658,958620,3823021,3673671,3506947
Pden_3972,8695100,10340000,9248300,10385000,11047000,12474000
Pden_3934,48522000,43206000,43383000,39422000,41615000,42702000
Pden_4546,0,6339400,0,10964000,11111000,10033000
hemH,14106000,11974000,12267000,11837000,11474000,9669300
truB,6991600,5023600,5168000,4642300,4563300,4004500
purF,10529000,13972000,11583000,12673000,15805000,15216000
ychF,26638000,26818000,28688000,26839000,24973000,24824000
nuoC,46281000,41272000,44436000,44040000,39086000,39485000
Pden_0028,0,4288700,3360500,5536900,5816100,5839800
Pden_4397,0,0,4983900,4940700,4346700,5271000
Pden_1397,3460300,3534900,3855100,2789900,3149200,3088300
Pden_2708,0,0,2563600,2321100,2621200,2684700
Pden_4792,1423197,1481897,1497690,3202548,3316864,2775626
hemA,5464900,5149900,4353500,4074400,4104800,4193600
accD,27197000,27900000,28914000,26760000,26564000,27118000
Pden_3930,3407800,5798500,5435900,7830200,7240200,8169900
Pden_4673,6013200,8480300,7110800,8810700,9699000,9530200
Pden_4482,19502000,15953000,14535000,14775000,13607000,14069000
Pden_0436,0,3847500,0,3828100,3671700,3797700
tuf1,815050000,920000000,989730000,1077400000,1117800000,1079300000
Pden_4423,11143000,12719000,10125000,15360000,13693000,12765000
dxs,5566100,5419500,4981400,5800400,5716800,5418000
Pden_3470,2719300,2110700,1954200,1796000,2001100,1782800
Pden_5028,9538800,12409000,11685000,14492000,11932000,14265000
Pden_4474,32156000,36220000,37828000,36993000,41626000,39611000
lpxK,0,0,0,0,1421100,1481700
Pden_1306,7768700,10613000,9233700,11104000,11040000,12298000
Pden_3942,0,0,0,3567600,0,3747400
Pden_1526,0,0,0,661230,0,598800
Pden_4594,0,0,0,983040,925450,890260
rsmA,0,0,0,0,1994700,1762900
Pden_4864,0,0,0,2762600,3241600,2959700
Pden_3048,0,0,0,1326700,0,1539100
Pden_0945,0,0,0,1180400,1309200,0
Pden_2753,0,0,0,13417000,15798000,15772000
Pden_2735,0,0,0,3056200,0,3547500
Pden_0846,0,0,0,1167000,1285300,1438900
Pden_4128,0,0,0,2243100,2792800,2389000
Pden_4422,0,15737000,12950000,0,0,0
Pden_1762,0,0,0,1487700,1756700,1887400
Pden_4002,0,0,0,1846300,0,1715000
Pden_1060,0,0,0,2133300,0,2327200
Pden_2152,25677000,29650000,27108000,28225000,37957000,36473000
Pden_3695,0,0,0,6588800,5363600,5012300
Pden_4000,0,0,0,1160900,1183200,0
Pden_0878,0,0,0,0,2339800,2640200
Pden_3038,0,0,0,7762900,6238300,0
Pden_1355,0,0,0,0,1736300,1965500
hpf,51776000,61253000,57076000,57736000,66033000,65092000
Pden_3229,0,4278900,0,4384400,5283600,5772400
ade,0,0,3960700,4253400,4391900,5241900
Pden_2208,39942000,44314000,47768000,38428000,41979000,39995000
Pden_1781,0,0,0,0,1735500,1253200
Pden_2534,4777700,6412000,5741600,6106700,7445600,7463600
Pden_4304,0,0,0,3470600,5136200,0
Pden_1557,0,0,0,3566500,0,5046600
Pden_2757,0,0,0,1424100,0,2019600
Pden_2338,0,0,4930000,4569400,4657300,5222800
Pden_0405,225430000,300070000,290820000,298480000,386990000,331680000
Pden_4438,55894000,52540000,50499000,52087000,69585000,68194000
Pden_2126,6290300,7095900,5661200,7905100,7601100,7600500
Pden_2782,133500000,148870000,136970000,139040000,158080000,155360000
Pden_1752,11214000,8948600,9109200,8115300,7886500,8279300
Pden_0854,0,0,1536900,1461100,1809200,2336300
purL,19137000,23297000,20531000,23108000,25596000,24180000
Pden_2913,3945800,3958200,4594600,3809500,3484900,3328800
fabH,11480000,13671000,0,16979000,16786000,16514000
tig,154470000,151990000,141170000,147310000,161190000,164940000
atpA,267380000,312990000,300170000,303350000,335850000,330790000
ffh,20377000,22471000,19846000,21859000,21084000,23758000
rplR,208220000,217510000,201360000,224500000,239500000,211820000
Pden_4421,2478400,4536600,3555000,3763900,4789600,4792800
Pden_0425,20487000,21041000,19209000,20137000,21635000,21600000
Pden_2371,30310000,27725000,28028000,27253000,22888000,26748000
Pden_2374,20917000,31738000,34282000,42534000,39088000,45664000
Pden_4378,21305000,18912000,14779000,21077000,22125000,21319000
Pden_2680,17878000,14726000,15004000,13491000,14423000,14501000
bamD,7359700,7424300,9080200,8110100,9883100,10706000
Pden_1749,0,0,0,0,1767500,2822400
Pden_4625,12154000,12599000,11118000,10475000,9751900,11894000
Pden_0943,4150000,3633700,3366100,4670100,4249300,4379600
Pden_1849,46696000,50163000,49602000,48718000,42131000,44418000
hutI,19137000,18435000,18192000,19444000,19026000,20549000
Pden_4712,72150000,72871000,68526000,69877000,79386000,82199000
ubiG,17357000,12557000,13089000,10678000,10007000,11751000
Pden_4280,4003800,0,3442300,0,0,0
Pden_1769,40196000,52386000,53659000,62025000,57720000,56586000
Pden_3901,10169000,7451300,8629800,9073800,5883900,6728700
argD,25110000,22127000,21274000,21631000,19557000,17846000
ilvE,28476000,37070000,30186000,36318000,36134000,37778000
yidC,15531000,16486000,13370000,15581000,16936000,19451000
kdsA,11253000,9486400,9547100,9413800,8797300,8891800
efp,0,0,0,12794000,17201000,13161000
Pden_2106,4602000,2470500,0,0,0,0
Pden_4521,22327000,18938000,18449000,22767000,21327000,23286000
Pden_0548,3507400,3390400,4245200,4138700,4270000,4375300
rpmG,48399000,65696000,62749000,58998000,105330000,81948000
Pden_1323,6347400,4340600,4684700,4962000,3578900,4209500
Pden_0403,0,4027000,0,2830800,4001500,3674900
rplM,257200000,182640000,216080000,237580000,277330000,256480000
nuoD,24756000,31237000,31504000,29520000,38523000,35383000
Pden_1927,13972000,12693000,10566000,14088000,13846000,15227000
Pden_0323,37895000,31668000,32819000,27813000,27028000,28441000
rplU,217570000,239250000,210150000,218330000,242710000,266340000
rplO,81872000,84344000,79107000,81660000,87622000,88821000
Pden_1920,163830000,173310000,162790000,167680000,183130000,174450000
Pden_3407,19901000,16325000,15115000,14742000,13865000,14899000
topA,16185000,14098000,14469000,12432000,13880000,13959000
der,7225800,10297000,9206600,9455900,10442000,10574000
Pden_1935,4491600,5040900,4351500,3951900,4011200,3978500
Pden_1650,16519000,18082000,18169000,17757000,18953000,20689000
lipA,14221000,10117000,9962500,9240600,9271900,8301600
Pden_2686,43212000,51608000,47072000,46479000,55427000,56099000
Pden_0832,2770800,0,0,2408400,2570900,1934400
Pden_4645,2590500,0,3393300,3937500,3680600,2961000
Pden_2372,13897000,16749000,14699000,17865000,16923000,16723000
Pden_4443,60737000,45522000,45657000,63172000,63614000,61973000
Pden_0798,25493000,28791000,29188000,25038000,23680000,25477000
Pden_1899,0,4572500,4215300,4008400,6561900,6925100
Pden_2929,0,0,0,1822800,1282200,1228700
Pden_1748,21943000,21011000,18483000,18086000,16569000,17182000
rpsT,0,103890000,105650000,104420000,141770000,128500000
Pden_3964,30008000,27233000,28627000,29687000,32249000,32105000
Pden_4430,16681000,11377000,14582000,12910000,11980000,11287000
Pden_2967,0,0,2813000,2954800,1625000,2698200
Pden_4757,48913000,37999000,43521000,41535000,34793000,38948000
trpA,24304000,22627000,29259000,23069000,22220000,22924000
Pden_4122,17739000,15141000,13825000,10019000,14546000,15347000
Pden_4465,204230000,231700000,233250000,228000000,241830000,261400000
pgl,6759100,0,8412300,8767000,12035000,11617000
hemE,17967000,16145000,15463000,14349000,14639000,16357000
purQ,19272000,12409000,14662000,13560000,11191000,13825000
Pden_1252,0,4015700,3766100,4655400,5183500,5337800
Pden_2560,8182300,9112100,10012000,10399000,8958700,11977000
murB,6566600,5288600,13723000,5437800,0,5922900
Pden_2729,11469000,11518000,13596000,12746000,19729000,17615000
Pden_1743,11398000,10862000,10686000,10932000,11391000,11601000
Pden_1275,86495000,88605000,88406000,83223000,96059000,96930000
gpmI,8606000,8137600,7895000,7549300,6418100,7451300
Pden_0959,236410000,226230000,218860000,222330000,184500000,195220000
Pden_4238,11594000,8084900,7977800,7319900,7347800,6603500
trmB,5653300,6062400,5179300,6467100,7081700,7142800
Pden_2307,18178000,21164000,20107000,18752000,24130000,24680000
rpsD,393880000,401150000,381700000,393330000,435650000,405900000
Pden_2822,54464000,46080000,45485000,56476000,55147000,52011000
glyS,25450000,17004000,17016000,16368000,15490000,15437000
Pden_3684,9473400,11064000,9628800,10359000,11851000,10442000
rpsP,131830000,155610000,140500000,141880000,162090000,149250000
Pden_2941,8023800,7191100,6825400,5266500,6385600,6290800
carA,27757000,27494000,26291000,24987000,27331000,26051000
Pden_2413,13263000,13445000,12517000,10887000,9935100,8136300
Pden_2297,17694000,15539000,14764000,16750000,11591000,14410000
Pden_3944,8940500,9933300,8775100,10033000,11115000,11951000
ihfB,24057000,32426000,28999000,30903000,31406000,31890000
Pden_4314,5860900,7557100,7013400,7324400,8719200,7832800
thyX,16747000,17383000,17024000,16008000,18658000,20151000
gltX1,34298000,29355000,30203000,30277000,27663000,29820000
Pden_0664,21807000,25247000,23518000,24300000,33175000,38532000
bamA,25910000,28501000,27164000,28856000,28260000,29107000
Pden_0566,12821000,8865600,10506000,7711900,8962800,7059100
Pden_0240,2146400,0,3485500,3302600,3783000,4733800
Pden_2088,0,1604500,1760500,2961000,2037700,1830700
cysD,16350000,13911000,14823000,13613000,13819000,13446000
Pden_4037,1264062,1349784,1213469,2634429,2680691,2652453
dnaK,169070000,161010000,162650000,142870000,162880000,158130000
Pden_1683,4057400,3352400,3579600,3322000,4250500,4817000
Pden_3786,314400000,352270000,367240000,406130000,387010000,401000000
Pden_0427,0,5415700,5255600,4922400,6050900,6611400
ndk,186570000,202770000,207400000,198250000,262120000,259000000
gatA,26625000,22215000,21726000,19590000,17799000,19504000
Pden_2961,127400000,146000000,146790000,132440000,129130000,129380000
rne,28746000,29966000,28431000,30985000,30091000,28289000
pdhA,15366292,20476618,19902920,31404052,30409236,27360347
acpP,0,0,11050000,13547000,15453000,15619000
Pden_4463,35343000,38112000,39400000,41575000,41238000,37923000
Pden_0305,0,0,3234100,3325300,4306100,4258800
Pden_4350,2747800,2153600,0,2929800,3616600,2926500
Pden_0409,4733600,6429400,7297600,5495300,3541600,0
Pden_2679,3000600,0,3076800,3367800,3684500,3433500
rpsL,111410000,73216000,66629000,40904000,66904000,61482000
Pden_1855,4353800,2658300,2652500,2659700,2245700,2773500
Pden_2004,23667000,21687000,22670000,17543000,21160000,19768000
def,0,2289200,0,3128200,4755400,2780500
rpsM,194880000,259100000,271190000,269940000,303460000,257940000
leuC,18106000,18766000,17215000,16250000,16795000,16392000
Pden_1719,3351600,2644500,2491700,3583100,4469400,3187800
Pden_1684,0,0,1634700,0,1755200,2707000
Pden_1391,68987000,42574000,47046000,43074000,40230000,41645000
Pden_2508,15579000,19155000,17818000,18624000,19652000,20271000
mnmA,2855700,4030100,4313900,4568500,5517700,4680300
Pden_0707,13610000,11168000,11969000,11838000,11703000,10860000
Pden_3957,4829400,6970000,8229800,7702800,9255100,7820600
Pden_2000,0,20546000,17651000,16254000,23606000,23108000
glcB,20237000,15794000,16546000,13762000,13675000,14732000
rnr,2342800,3094400,2557800,2963800,3031100,3269700
Pden_2333,7112800,7089300,6446100,6717300,10790000,13463000
ccmG,0,0,0,3576200,4616500,4312000
rpsC,180170000,154980000,163720000,170100000,187410000,181390000
Pden_4701,12801000,10443000,9580500,10300000,8641600,9335200
Pden_2603,19290000,18581000,16429000,16476000,16728000,16848000
Pden_4190,17654000,15453000,12529000,13984000,21464000,19545000
Pden_4322,6167600,8419400,9033500,9314700,9803100,8576100
cpoB,4494200,4868700,4003000,4083700,5441200,5593900
Pden_3980,13200000,9351500,8035000,7600500,7895600,7176200
Pden_2214,34060000,42150000,40422000,33255000,31187000,30472000
Pden_1897,3321800,3807100,3308100,3168300,4501800,3812500
Pden_0054,0,0,1542800,1945600,1793400,1927700
Pden_1717,16719000,18717000,18883000,16666000,25460000,25100000
Pden_0616,4489800,5380200,6128100,0,0,4319900
Pden_2026,122410000,102180000,108830000,125040000,114080000,128350000
Pden_2410,5273100,5829900,5987900,3933800,4855500,4758100
rpsJ,129990000,137190000,136700000,138620000,158690000,150000000
Pden_2002,3013000,6548400,5462600,5222700,6662500,6889800
Pden_2554,4701900,5795200,5757600,7722500,6815900,6096600
Pden_0954,230270000,267280000,267320000,286120000,368020000,320510000
rpmI,50631000,56527000,0,0,36297000,0
Pden_2763,202790000,181140000,202250000,162480000,242950000,272140000
Pden_4224,0,4454300,5769000,3840300,0,0
Pden_2327,0,0,2747700,3385600,3081700,2959200
Pden_0488,8927100,9548500,9153600,8629900,8261800,8320500
Pden_2912,2243900,3333600,2588500,2573600,3152200,3517700
Pden_1392,52173000,39622000,43185000,37789000,40229000,43400000
Pden_0255,13069000,16268000,15394000,15344000,18246000,17269000
,7593800,7587100,9751000,10572000,10964000,9672900
cysC,25217000,24114000,26196000,25288000,27203000,24846000
Pden_2393,30587000,24824000,23979000,23775000,22854000,23196000
Pden_4808,0,7451500,0,12018000,8051500,7903200
Pden_0849,0,0,4273200,0,5084200,4997100
Pden_2904,39646000,49013000,46948000,51006000,46197000,55373000
fumC,46670000,45391000,44089000,42689000,38856000,44615000
Pden_1245,37567000,27090000,25197000,24076000,26148000,24950000
Pden_3530,0,2368100,0,2340200,3081100,2902800
Pden_4715,48354000,56300000,51919000,49529000,67869000,68509000
Pden_3984,44874000,41692000,43768000,48030000,43918000,43957000
Pden_3898,2411800,0,1998600,2355000,2348300,2243900
Pden_1382,18132000,17522000,17732000,15615000,15233000,18562000
Pden_4791,0,12934000,14093000,17630000,15806000,10843000
Pden_1670,0,0,3145900,0,3647900,3933000
Pden_0857,41679000,54822000,50563000,52695000,62012000,57795000
Pden_2299,0,10541000,10018000,9712200,11994000,11206000
Pden_0088,0,10983000,10839000,11981000,12585000,12932000
Pden_1940,5860700,5956700,4803400,6624200,5898200,5826800
Pden_1676,0,2789200,2733900,2335000,3145300,2690500
Pden_4075,6875500,6032000,6020000,6972300,5215200,5172000
atpF,44651000,40131000,44407000,41779000,46171000,44969000
iolG,7814100,9060200,9510900,10224000,10242000,9843700
Pden_0399,8602200,10057000,9489300,10536000,10626000,10432000
Pden_2955,45368000,35801000,36169000,34272000,35523000,32265000
prmA,7814000,12157000,11432000,11647000,12953000,11496000
Pden_2325,19857000,14994000,17711000,32664000,17925000,26336000
queC,0,0,3949000,4474800,5651600,4998100
Pden_0035,0,0,5142900,6722700,7171100,5251500
Pden_2705,0,6114700,12573000,14351000,10154000,10750000
Pden_1303,12174000,10535000,9483600,9641000,8704600,9939300
Pden_3618,10392000,9980600,8611400,9431300,8141700,8786400
Pden_4062,0,7343300,5357100,7429200,7450900,7106600
Pden_5025,12836000,0,0,13951000,18044000,18814000
Pden_2832,14912000,14246000,11915000,15726000,13993000,15732000
Pden_4129,4828500,4181000,5406400,6954100,5571600,4974000
glgA,0,3216900,2967600,0,0,3039100
Pden_5098,0,0,0,0,0,1679500
Pden_1268,0,0,2176600,0,0,0
Pden_4174,0,0,0,1676600,1658800,0
Pden_2134,0,2582300,0,0,0,0
Pden_4200,0,0,0,1471700,1436200,0
Pden_1842,0,0,0,1035500,0,1063500
Pden_4867,8201100,8442700,0,0,0,0
Pden_2378,0,0,0,2381800,0,2452500
Pden_4810,0,0,0,4591400,0,4743300
Pden_2779,0,0,0,2654400,0,0
Pden_3108,0,0,0,1730200,0,1661200
Pden_2146,0,0,0,4522100,0,4324300
glnD,0,0,0,0,1135500,1188600
Pden_4559,0,0,0,1307700,0,1372000
Pden_2412,0,0,0,1185100,0,0
Pden_4923,0,0,0,2188600,0,2297200
Pden_3535,0,0,0,4492400,0,0
Pden_0797,0,0,0,0,0,21228000
Pden_3937,0,3255700,3074300,0,0,0
dtd,0,0,0,0,0,2658900
cobB,0,0,0,0,0,1038800
Pden_5060,0,0,16376000,0,0,0
uvrC,0,0,0,0,1395500,0
ccmA,0,0,0,1443000,1561900,0
Pden_2709,0,2451000,0,0,0,0
Pden_3685,0,0,0,0,0,95230000
Pden_4716,0,0,0,1806800,1971800,0
Pden_2315,0,0,0,0,0,1236500
hisI,0,0,0,7325600,8143100,0
Pden_2691,2339600,0,2616000,0,0,0
Pden_0941,0,0,0,2660800,0,2981300
Pden_2605,0,0,0,0,0,998740
Pden_4677,0,0,0,0,4673200,0
Pden_1896,0,0,0,0,0,4655200
Pden_1614,0,2204600,2487300,0,0,0
Pden_0059,0,0,1852200,0,0,0
Pden_2715,0,0,0,0,0,17224000
Pden_2622,0,3984300,3433000,0,0,0
Pden_2762,5287800,0,4502600,0,0,0
Pden_4824,0,0,0,0,0,594950
Pden_1864,0,0,0,0,1804500,1530500
Pden_0653,0,0,0,0,0,3122100
Pden_0724,0,0,0,2251000,0,1897800
ubiE,7101600,7176600,7576100,7466300,7012700,6452400
Pden_3894,0,0,0,0,790620,950860
Pden_2569,0,0,0,1371800,0,0
Pden_4484,0,0,0,0,1654400,0
Pden_3965,0,0,0,0,1661300,2033200
rplC,173110000,223810000,248880000,232440000,297250000,274750000
Pden_4797,0,0,0,0,0,1569100
Pden_3637,5448400,7643900,6566600,7386700,7117600,6822700
Pden_3706,0,0,0,0,2818400,3553900
Pden_1394,0,0,0,519180,0,0
Pden_0939,39416000,46747000,50240000,50492000,47372000,49539000
obg,7666400,11416000,12712000,12755000,13026000,13623000
Pden_1561,0,1025900,0,0,0,0
amn,0,0,0,1932600,0,0
Pden_0230,3811600,0,0,0,0,0
Pden_1828,30824000,30345000,28393000,29664000,27173000,27212000
Pden_4082,0,0,0,0,0,882150
Pden_3872,37473372,37855908,36355714,39310126,40375674,42181073
glyQ,9182200,18155000,17861000,17670000,20600000,18562000
Pden_1246,0,3249500,3025900,3040300,3095400,3386400
Pden_2551,152870000,182800000,186610000,202910000,185160000,195760000
Pden_0306,0,0,0,2138700,0,0
Pden_4220,0,1335800,1866300,0,0,0
Pden_4932,526023,563897,615161,1370993,1642710,1548934
Pden_1396,0,0,3152800,0,0,0
folD1,8323000,7978200,8421800,8500200,6597700,7686000
Pden_4392,21550000,27022000,25108000,21784000,23533000,24107000
Pden_1856,8482000,10640000,13073000,0,10311000,9673900
Pden_5127,31471000,0,0,0,0,0
Pden_0046,0,0,0,4024200,0,0
Pden_3573,3706000,3407500,4279700,4007600,0,0
Pden_0863,0,3079400,3339100,3872800,4366500,3031300
Pden_2745,0,0,0,2839400,4391700,0
Pden_4301,63337000,59493000,58669000,54116000,55885000,53954000
Pden_0719,13460000,10319000,15760000,14883000,15592000,15017000
Pden_2609,0,0,3799300,0,0,0
Pden_1559,26938000,22248000,24203000,24275000,27419000,27723000
rpsQ,85831000,98031000,94649000,90056000,89731000,121470000
surE,0,0,0,11994000,7417700,0
Pden_3705,16745000,16833000,17236000,13149000,24068000,24462000
Pden_2532,0,2079100,2125100,2071200,2001100,2198900
Pden_1882,9750900,12789000,12349000,12816000,12396000,14583000
hisA,20038000,15684000,14296000,14576000,14488000,15738000
rsmH,3589100,3897900,4177200,3483200,3529400,3811200
Pden_3556,57799000,49014000,47325000,52417000,53249000,56941000
Pden_0438,0,0,0,1703500,0,0
Pden_4048,42847000,37257000,33807000,36611000,44767000,43222000
Pden_0680,0,4552000,0,0,0,0
Pden_1729,2354900,0,3050000,5042600,2834700,3298500
Pden_2478,4331500,0,7443300,7763700,7727100,8301800
Pden_0169,11079000,7655800,7121000,7648400,6728700,6945400
aroC,15671000,12864000,11096000,11280000,12619000,11852000
Pden_3657,0,0,8457000,6865900,0,9230800
Pden_2946,12716000,10592000,10691000,11037000,10124000,10439000
Pden_1271,23917000,28477000,29439000,29233000,28413000,29131000
ribH,29823000,25487000,23565000,22628000,24680000,23357000
Pden_4710,0,0,1901900,1862600,2013900,2140100
