Gene Name,HNOX_1,HNOX_2,HNOX_3,WT_1,WT_2,WT_3
Pden_0937,0,0,0,0,0,0
Pden_1193,0,0,0,0,0,0
Pden_0983,0,0,0,0,0,0
Pden_1025,0,0,0,0,0,0
Pden_1045,0,0,0,0,0,0
Pden_1047,0,0,0,0,0,0
Pden_1077,0,0,0,0,0,0
Pden_1093,0,0,0,0,0,0
Pden_1106,0,0,0,0,0,0
Pden_1121,0,0,0,0,0,0
Pden_1168,0,0,0,0,0,0
Pden_1176,0,0,0,0,0,0
Pden_1215,0,0,0,0,0,0
Pden_1216,0,0,0,0,0,0
Pden_1232,0,0,0,0,0,0
Pden_1237,0,0,0,0,0,0
Pden_1238,0,0,0,0,0,0
Pden_1240,0,0,0,0,0,0
Pden_1244,0,0,0,0,0,0
Pden_1249,0,0,0,0,0,0
Pden_1251,0,0,0,0,0,0
Pden_1262,0,0,0,0,0,0
Pden_1267,0,0,0,0,0,0
Pden_1281,0,0,0,0,0,0
aroK,0,0,0,0,0,0
Pden_1289,0,0,0,0,0,0
Pden_1292,0,0,0,0,0,0
Pden_1294,0,0,0,0,0,0
Pden_1313,0,0,0,0,0,0
Pden_1326,0,0,0,0,0,0
Pden_1366,0,0,0,0,0,0
Pden_1387,0,0,0,0,0,0
Pden_1398,0,0,0,0,0,0
Pden_1405,0,0,0,0,0,0
Pden_1414,0,0,0,0,0,0
Pden_1418,0,0,0,0,0,0
Pden_1419,0,0,0,0,0,0
dusA,0,0,0,0,0,0
Pden_1439,0,0,0,0,0,0
Pden_1469,0,0,0,0,0,0
Pden_1492,0,0,0,0,0,0
Pden_1529,0,0,0,0,0,0
Pden_1534,0,0,0,0,0,0
Pden_1545,0,0,0,0,0,0
Pden_1565,0,0,0,0,0,0
Pden_1568,0,0,0,0,0,0
Pden_1604,0,0,0,0,0,0
Pden_1605,0,0,0,0,0,0
Pden_1608,0,0,0,0,0,0
Pden_1661,0,0,0,0,0,0
Pden_1672,0,0,0,0,0,0
Pden_1674,0,0,0,0,0,0
Pden_1681,0,0,0,0,0,0
Pden_1682,0,0,0,0,0,0
Pden_1689,0,0,0,0,0,0
Pden_1722,0,0,0,0,0,0
Pden_1730,0,0,0,0,0,0
Pden_1735,0,0,0,0,0,0
tdk,0,0,0,0,0,0
Pden_1745,0,0,0,0,0,0
Pden_1753,0,0,0,0,0,0
Pden_1757,0,0,0,0,0,0
Pden_1763,0,0,0,0,0,0
Pden_1779,0,0,0,0,0,0
Pden_1783,0,0,0,0,0,0
Pden_1786,0,0,0,0,0,0
Pden_1791,0,0,0,0,0,0
Pden_1810,0,0,0,0,0,0
Pden_1816,0,0,0,0,0,0
Pden_1839,0,0,0,0,0,0
Pden_1840,0,0,0,0,0,0
Pden_1844,0,0,0,0,0,0
Pden_1867,0,0,0,0,0,0
Pden_1869,0,0,0,0,0,0
Pden_1893,0,0,0,0,0,0
Pden_1894,0,0,0,0,0,0
Pden_1931,0,0,0,0,0,0
Pden_1937,0,0,0,0,0,0
Pden_1949,0,0,0,0,0,0
Pden_1954,0,0,0,0,0,0
Pden_1983,0,0,0,0,0,0
Pden_1997,0,0,0,0,0,0
Pden_2015,0,0,0,0,0,0
Pden_2028,0,0,0,0,0,0
Pden_2054,0,0,0,0,0,0
Pden_2061,0,0,0,0,0,0
Pden_2074,0,0,0,0,0,0
vapC,0,0,0,0,0,0
Pden_2093,0,0,0,0,0,0
Pden_2108,0,0,0,0,0,0
Pden_2119,0,0,0,0,0,0
Pden_2120,0,0,0,0,0,0
moaC,0,0,0,0,0,0
Pden_2147,0,0,0,0,0,0
Pden_2150,0,0,0,0,0,0
Pden_2167,0,0,0,0,0,0
Pden_2172,0,0,0,0,0,0
Pden_2180,0,0,0,0,0,0
Pden_2192,0,0,0,0,0,0
Pden_2203,0,0,0,0,0,0
Pden_2207,0,0,0,0,0,0
Pden_2209,0,0,0,0,0,0
Pden_2211,0,0,0,0,0,0
lgt,0,0,0,0,0,0
deoB,0,0,0,0,0,0
Pden_2225,0,0,0,0,0,0
Pden_2232,0,0,0,0,0,0
Pden_2235,0,0,0,0,0,0
Pden_2242,0,0,0,0,0,0
Pden_2253,0,0,0,0,0,0
Pden_2286,0,0,0,0,0,0
rbsK,0,0,0,0,0,0
Pden_2313,0,0,0,0,0,0
Pden_2318,0,0,0,0,0,0
Pden_2319,0,0,0,0,0,0
Pden_2322,0,0,0,0,0,0
Pden_2326,0,0,0,0,0,0
Pden_2335,0,0,0,0,0,0
Pden_2336,0,0,0,0,0,0
Pden_2353,0,0,0,0,0,0
pqqB,0,0,0,0,0,0
ribA,0,0,0,0,0,0
Pden_2392,0,0,0,0,0,0
Pden_2415,0,0,0,0,0,0
Pden_2417,0,0,0,0,0,0
Pden_2431,0,0,0,0,0,0
Pden_2432,0,0,0,0,0,0
Pden_2460,0,0,0,0,0,0
Pden_2477,0,0,0,0,0,0
Pden_2484,0,0,0,0,0,0
Pden_2507,0,0,0,0,0,0
Pden_2511,0,0,0,0,0,0
Pden_2512,0,0,0,0,0,0
Pden_2527,0,0,0,0,0,0
Pden_2529,0,0,0,0,0,0
Pden_2530,0,0,0,0,0,0
Pden_2533,0,0,0,0,0,0
Pden_2535,0,0,0,0,0,0
plsY,0,0,0,0,0,0
Pden_2556,0,0,0,0,0,0
Pden_2563,0,0,0,0,0,0
Pden_2564,0,0,0,0,0,0
Pden_2578,0,0,0,0,0,0
Pden_2586,0,0,0,0,0,0
Pden_2587,0,0,0,0,0,0
Pden_2590,0,0,0,0,0,0
Pden_2596,0,0,0,0,0,0
Pden_2600,0,0,0,0,0,0
Pden_2601,0,0,0,0,0,0
lptA,0,0,0,0,0,0
Pden_2653,0,0,0,0,0,0
Pden_2655,0,0,0,0,0,0
Pden_2656,0,0,0,0,0,0
